Name;XT;Module;Channel

AI_TEMP_TUMBLEDRYER_ENTER;AI;1;1
AI_TEMP_TUMBLEDRYER_EXIT;AI;1;2
AI_HUMIDITY_TUMBLEDRYER_EXIT;AI;1;3
AI_RESERVE;AI;1;4

AO_TEMP_BURNER_TASK;AO;2;1
AO_RESERVE;AO;2;2

DO_BELTFEEDER_TURNON;DO;3;1
DO_ROTARYCRUSHER_TURNON;DO;3;2
DO_CONVEYOR6506000_CRUSHER_TURNON;DO;3;3
DO_ROLLERCRUSHER_TURNON;DO;3;4
DO_CONVEYOR6506000_BOLT_TURNON;DO;3;5
DO_DOUBLEMESHCSREEN_TURNON;DO;3;6
DO_CONVEYOR6506000_HOPPER_TURNON;DO;3;7
DO_HOPPERGATE_OPEN_RESERVE;DO;3;8

DO_HOPPERGATE_CLOSE_RESERVE;DO;4;1
DO_CONVEYOR6506000_PACKING_TURNON;DO;4;2
DO_CONVEYOR6501000_DRUM_TURNON;DO;4;3
DO_BURNER_STARTALLOW;DO;4;4
DO_BURNER_CONTROL_RESERVE;DO;4;5
DO_BURNER_CONTROL2_RESERVE;DO;4;6
DO_DRUM_TURNON;DO;4;7
DO_FAN_TURNON;DO;4;8

DO_SLUDGEAUGER_TURNON;DO;5;1
DO_FILTER_STARTALLOW;DO;5;2
DO_FILTER_CONTROL_RESERVE;DO;5;3
DO_CONVEYOR6508000_DRUM_TURNON;DO;5;4
DO_ROLLERCRUSHER2_TURNON;DO;5;5
DO_CONVEYOR6508000_SCREEN_TURNON;DO;5;6
DO_DOUBLEMESHSCREEN2_TURNON;DO;5;7
DO_CONVEYOR6506000_BIN38_TURNON;DO;5;8

DO_BIN38VIBRATOR_TURNON;DO;6;1
DO_BIN38GATE_OPEN_RESERVE;DO;6;2
DO_BIN38GATE_CLOSE_RESERVE;DO;6;3
DO_CONVEYOR6501000_PACKING_TURNON;DO;6;4
DO_CONVEYOR6506000_BIN02_TURNON;DO;6;5
DO_BIN02VIBRATOR_TURNON;DO;6;6
DO_BIN02GATE_OPEN_RESERVE;DO;6;7
DO_BIN02GATE_CLOSE_RESERVE;DO;6;8

DO_FLOWAUGER_TURNON;DO;7;1
DO_HORIZONTALAUGER_TURNON;DO;7;2
DO_VERTICALAUGER_TURNON;DO;7;3
DO_VENTFILTER_CONTROL_RESERVE;DO;7;4
DO_VENTFILTER_CONTROL2_RESERVE;DO;7;5
DO_VENTSLUDGEAUGER_TURNON;DO;7;6
DO_VENTFAN_TURNON;DO;7;7
DO_RESERVE_1;DO;7;8

DO_RESERVE_2;DO;8;1
DO_RESERVE_3;DO;8;2
DO_RESERVE_4;DO;8;3
DO_RESERVE_5;DO;8;4
DO_RESERVE_6;DO;8;5
DO_RESERVE_7;DO;8;6
DO_RESERVE_8;DO;8;7
DO_RESERVE_9;DO;8;8

DO_RESERVE_10;DO;9;1
DO_RESERVE_11;DO;9;2
DO_RESERVE_12;DO;9;3
DO_RESERVE_13;DO;9;4
DO_RESERVE_14;DO;9;5
DO_RESERVE_15;DO;9;6
DO_RESERVE_16;DO;9;7
DO_RESERVE_17;DO;9;8

DI_BELTFEEDER_ROPESWITCH_TRIPPED;DI;10;1
DI_BELTFEEDER_BELTBREAK_TRIPPED;DI;10;2
DI_ROTARYCRUSHER_RUNNING;DI;10;3
DI_CONVEYOR6508000_ROPESWITCH_TRIPPED;DI;10;4
DI_CONVEYOR6508000_BELTBREAK_TRIPPED;DI;10;5
DI_ROLLERCRUSHER_RUNNING;DI;10;6
DI_CONVEYOR6506000_ROPESWITCH_TRIPPED;DI;10;7
DI_CONVEYOR6506000_BELTBREAK_TRIPPED;DI;10;8

DI_DOUBLEMESHSCREEN_RUNNING;DI;11;1
DI_CONVEYOR6506000_ROPESWITCH2_TRIPPED;DI;11;2
DI_CONVEYOR6506000_BELTBREAK2_TRIPPED;DI;11;3
DI_HOPPER_HIGHLEVEL;DI;11;4
